name,party,state,crucial_vote_score,overall_score
"Padilla, Alex",D,CA,99.42,99.73
"Ossoff, Jon",D,GA,98.83,98.90
"Markey, Ed",D,MA,98.28,99.03
"Lujan, Ben",D,NM,97.69,98.91
"Warnock, Raphael",D,GA,97.66,98.32
"Warren, Elizabeth",D,MA,97.51,98.83
"Merkley, Jeff",D,OR,97.34,98.20
"Hirono, Mazie",D,HI,97.14,97.68
"Van Hollen, Chris",D,MD,97.03,95.09
"Gillibrand, Kirsten",D,NY,97.01,98.37
"Hickenlooper, John",D,CO,96.53,98.36
"Booker, Cory",D,NJ,96.26,97.76
"Smith, Tina",D,MN,95.68,93.14
"Brown, Sherrod",D,OH,95.60,96.40
"Baldwin, Tammy",D,WI,95.53,94.75
"Schatz, Brian",D,HI,95.38,95.95
"Sanders, Bernie",I,VT,94.89,96.71
"Durbin, Dick",D,IL,94.65,94.57
"Blumenthal, Richard",D,CT,94.55,96.23
"Reed, Jack",D,RI,94.45,95.23
"Heinrich, Martin",D,NM,93.10,93.65
"Schumer, Chuck",D,NY,92.16,94.74
"Whitehouse, Sheldon",D,RI,91.69,93.69
"Menendez, Bob",D,NJ,91.60,94.73
"Cardin, Ben",D,MD,91.16,93.71
"Kelly, Mark",D,AZ,90.36,92.98
"Leahy, Pat",D,VT,90.03,92.61
"Duckworth, Tammy",D,IL,89.60,90.27
"Murray, Patty",D,WA,88.80,92.45
"Stabenow, Debbie Ann",D,MI,88.62,92.77
"Wyden, Ron",D,OR,88.59,92.35
"Cortez Masto, Catherine",D,NV,88.47,88.76
"Cantwell, Maria",D,WA,88.24,92.70
"Klobuchar, Amy",D,MN,87.07,91.86
"Peters, Gary",D,MI,86.86,88.17
"Casey, Bob",D,PA,86.67,90.90
"Rosen, Jacky",D,NV,84.92,86.77
"Murphy, Chris",D,CT,84.10,88.51
"Kaine, Tim",D,VA,80.99,86.73
"Coons, Chris",D,DE,80.69,88.00
"Bennet, Michael",D,CO,80.25,87.74
"Shaheen, Jeanne",D,NH,80.04,88.28
"Feinstein, Dianne",D,CA,79.58,86.85
"Hassan, Maggie",D,NH,78.72,82.46
"Tester, Jon",D,MT,75.66,85.06
"Warner, Mark",D,VA,73.80,84.80
"Carper, Tom",D,DE,72.60,83.07
"King, Angus",I,ME,72.31,81.68
"Sinema, Kyrsten",D,AZ,68.68,69.51
"Manchin, Joe",D,WV,59.57,65.86
"Collins, Susan",R,ME,24.75,36.31
"Paul, Rand1",R,KY,11.75,10.44
"Murkowski, Lisa",R,AK,9.82,24.15
"Lee, Mike",R,UT,6.64,7.35
"Shelby, Richard",R,AL,5.89,9.56
"Graham, Lindsey",R,SC,4.80,11.65
"Grassley, Chuck",R,IA,4.54,8.11
"Portman, Rob",R,OH,3.68,11.63
"Moran, Jerry",R,KS,3.46,7.10
"Romney, Mitt",R,UT,3.19,12.49
"Cruz, Ted",R,TX,3.06,2.91
"Daines, Steve",R,MT,3.04,4.44
"Thune, John",R,SD,2.51,4.64
"Sullivan, Dan",R,AK,2.38,5.26
"Blunt, Roy",R,MO,2.18,9.17
"Kennedy, John",R,LA,2.04,3.13
"Hoeven, John",R,ND,1.95,7.57
"Toomey, Pat",R,PA,1.86,5.04
"Burr, Richard",R,NC,1.83,5.98
"Lummis, Cynthia",R,WY,1.73,1.92
"Capito, Shelley",R,WV,1.67,9.56
"McConnell, Mitch",R,KY,1.66,4.93
"Inhofe, Jim",R,OK,1.61,2.79
"Crapo, Mike",R,ID,1.55,3.95
"Cassidy, Bill",R,LA,1.54,5.46
"Sasse, Ben",R,NE,1.54,3.32
"Rubio, Marco",R,FL,1.34,4.47
"Braun, Michael",R,IN,1.33,1.77
"Young, Todd",R,IN,1.26,6.66
"Wicker, Roger",R,MS,1.25,7.16
"Hagerty, Bill",R,TN,1.16,2.20
"Cornyn, John",R,TX,1.14,4.45
"Rounds, Mike",R,SD,1.13,6.40
"Lankford, James",R,OK,1.10,2.19
"Boozman, John",R,AR,1.08,3.51
"Johnson, Ron",R,WI,0.87,3.21
"Barrasso, John",R,WY,0.84,2.18
"Ernst, Joni",R,IA,0.83,3.47
"Blackburn, Marsha",R,TN,0.80,1.18
"Cramer, Kevin",R,ND,0.80,5.14
"Hawley, Josh",R,MO,0.80,1.74
"Risch, James",R,ID,0.76,2.87
"Scott, Tim",R,SC,0.75,2.42
"Tuberville, Tommy",R,AL,0.58,1.38
"Cotton, Tom",R,AR,0.55,1.76
"Scott, Rick",R,FL,0.53,1.08
"Fischer, Deb",R,NE,0.50,3.41
"Tillis, Thom",R,NC,0.42,6.13
"Hyde-Smith, Cindy",R,MS,0.00,4.48
"Marshall, Roger",R,KS,0.00,2.53